LocationID,Latitude,Longitude,Zone,Borough
219,0.15512667,0.000428176,Springfield Gardens South,Queens
220,0.106015943,0.000313036,Spuyten Duyvil/Kingsbridge,Bronx
221,0.166218221,0.000890112,Stapleton,Staten Island
222,0.048389353,0.000130268,Starrett City,Brooklyn
223,0.166021925,0.000764361,Steinway,Queens
224,0.044020446,9.85E-05,Stuy Town/Peter Cooper Village,Manhattan
225,0.088799207,0.000310835,Stuyvesant Heights,Brooklyn
226,0.168957762,0.000761944,Sunnyside,Queens
227,0.082830157,0.000268317,Sunset Park East,Brooklyn
228,0.177685178,0.000993415,Sunset Park West,Brooklyn
229,0.04252529,9.47E-05,Sutton Place/Turtle Bay North,Manhattan
230,0.03102831,5.61E-05,Times Sq/Theatre District,Manhattan
231,0.063420117,0.00016693,TriBeCa/Civic Center,Manhattan
232,0.061470909,0.00021605,Two Bridges/Seward Park,Manhattan
233,0.048035918,0.000116188,UN/Turtle Bay South,Manhattan
234,0.036072199,7.31E-05,Union Sq,Manhattan
235,0.076166843,0.000212845,University Heights/Morris Heights,Bronx
236,0.044251922,0.000102864,Upper East Side North,Manhattan
237,0.0422126,9.60E-05,Upper East Side South,Manhattan
238,0.060109311,0.000184764,Upper West Side North,Manhattan
239,0.063626115,0.000204715,Upper West Side South,Manhattan
240,0.146069764,0.000722131,Van Cortlandt Park,Bronx
241,0.068764578,0.000254677,Van Cortlandt Village,Bronx
242,0.138136446,0.000360072,Van Nest/Morris Park,Bronx
243,0.0943315,0.000438377,Washington Heights North,Manhattan
244,0.080568604,0.000359703,Washington Heights South,Manhattan
245,0.09598306,0.000466175,West Brighton,Staten Island
246,0.069467194,0.000281298,West Chelsea/Hudson Yards,Manhattan
247,0.092967858,0.000205617,West Concourse,Bronx
248,0.056919117,0.000149593,West Farms/Bronx River,Bronx
249,0.036384344,7.22E-05,West Village,Manhattan
250,0.079626347,0.000240976,Westchester Village/Unionport,Bronx
251,0.137711161,0.000625755,Westerleigh,Staten Island
252,0.158004374,0.001025264,Whitestone,Queens
253,0.0360515,7.83E-05,Willets Point,Queens
254,0.085886375,0.00036004,Williamsbridge/Olinville,Bronx
255,0.0623842,0.000172309,Williamsburg (North Side),Brooklyn
256,0.067914967,0.000168611,Williamsburg (South Side),Brooklyn
257,0.058669026,0.000138909,Windsor Terrace,Brooklyn
258,0.089013379,0.00036621,Woodhaven,Queens
259,0.126750305,0.000394552,Woodlawn/Wakefield,Bronx
260,0.133514155,0.000422345,Woodside,Queens
261,0.027120456,3.43E-05,World Trade Center,Manhattan
262,0.049063623,0.00012233,Yorkville East,Manhattan
263,0.037016625,6.58E-05,Yorkville West,Manhattan
